PART.,NOMBRE ,OBJETO,COMPROMISO GENERAL DE LAS PARTES,PARTES QUE INTERVIENEN,MONTO,FECHA DE INICIO,TERMINA VIGENCIA,año
1,Convenio de Colaboración SIAP-SEMAR ,"Las partes se comprometen a realizar acciones conjuntas para llevar a cabo el proyecto de operación de la estación de recepción México de la constelación SPOT ""LA ERMEXS"" y la distribución de los productos básicos SPOT.","Recepción, almacenamiento, extracción aseguramiento y archivo de datos SPOT; procesamiento de datos para la elaboración de productos básicos y atención de las solicitudes de imágenes satelitales a través de la página web. (SPOT 2, 4 y 5)",SIAP-SEMAR,Sin monto,02 de agosto de 2013,"Vigencia determinada por la vida útil de la antena, la cual conluyó en marzo 2015, se encentra en proceso de finiquito.",2010
2,Convenio de Colaboración  SIAP-SEDENA             ,"Realizar acciones conjuntas necesarias para la instalación, operación y mantenimiento de la antena y estación para la recepción, procesamiento y almacenamiento de la telemetría de SPOT 6/7 ""ERMEX NG""","Instalación, operación y mantenimiento de la antena de Spot  6/7; así como la vigencia de telemetría. Procesar, almacenar, resguardar y distribuir imágenes satelitales.",SIAP-SEDENA,Sin monto,9 de marzo de 2012,"Vigencia determinada por la vida útil de la antena, Spot 6/7.

",2012
3,Convenio de Concertación SIAP-BAYER,"Intercambio de información estadística, bases de datos y registros administrativos.","Intercambio de información del mercado de agroquímicos que genere y forme parte de la cadena de valor de la producción de alimentos , así como colaborar en el desarrollo de estudios, procedimientos y metodologías sobre oferta, demanda y consumo de agroquímicos que tengan impacto en el sector agroalimentario.",SIAP-BAYER,Sin monto,29 de noviembre de 2012,Vigencia determinada hasta en tanto prevalezca la necesidad de intercambio de información entre las partes.,2012
4,Convenio de Concertación SIAP-CONFEPORC,"Establecer los lineamientos a los que se sujetaran las partes para intercambiar y difundir la información estadística relacionada con los animales, productos y subprodutos de origen porcino","Intercambio, recopilación y determinación de la información estadística veraz confiable y oportuna, relacionada con los animales, productos y subproductos de origen porcino con el propósito de ayuda a la toma de decisiones al plan nacional de desarrollo al sector agroalimentario y pesquero.",SIAP-CONFEPORC,Sin monto,07 de enero de 2013,31 de diciembre de 2015,2013
5,Convenio de Concertación SIAP-SEMINIS ,"Intercambio de información estadística, bases de datos y registros administrativos.","Intercambiar información estadística que forme parte de la cadena de valor de la producción de alimentos ya sea sobre insumos, comercio nacional e internacional, almacenamiento, procesamiento, distribución, mejores prácticas agrícolas, sustentabilidad del medio ambiente en la producción de alimentos",SIAP-SEMINIS,Sin monto,03 de junio de 2013,Vigencia determinada hasta en tanto prevalezca la necesidad de intercambio de información entre las partes.,2013
6,Convenio de Concertación SIAP-WALMART,"Consiste en el intercambio de información estadística, bases de datos y registros administrativos","Intercambio de información estadística y geográfica de interés sobre productos agropecuarios, precios y otros que acuerden las partes. Asimismo información tabular y georreferenciada de consumo, infraestructura de distribución y puntos de venta,  así como catálogos de productos prioritarios.",SIAP-WAL-MART,N/A,23 de octubre de 2013,Vigencia determinada hasta en tanto prevalezca la necesidad de intercambio de información entre las partes.,2013
7,Programa Operativo 2014 (SIAP-IICA),"Brindar la gestión técnica, operativa y de gestión administrativa y coadyuvar para que el SIAP instrumente y ejecute el SNIDRUS, en materia de información estadística y geográfica, agroalimentaria y pesquera ",Mejoramiento de las estrategias que conlleven al desarrollo de la población rural ,SIAP-IICA,"$196'012,447.00",01 de enero de 2014 ,"31 de diciembre de 2014
En proceso de finiquito",2014
8,18 Acuerdos Específicos con las Entidades Federativas ,"Conjuntar acciones y recursos públicos para el apoyo, ejecución y operación de los proyectos prioritarios correspondiente al SNIDRUS.",Llevar a cabo los proyectos del SNIDRUS,SIAP-DELEGACIONES DE LOS ESTADOS,,marzo de 2014,31 de marzo de 2015,2014
9,Convenio de Colaboración SIAP-CONAPESCA,"Realizar acciones para recopilar, integrar, validar, intercambiar y difundir información estadística y geoespacial en materia pesquera y acuícola","Intercambiar información estadística, bases de datos y registros administrativos de la producción acuícola y pesquera ",SIAP-CONAPESCA,Sin monto,9 de abril de 2014,Vigencia determinada hasta en tanto prevalezca la necesidad de intercambio de información entre las partes.,2014
10,Convenio de Concertación SIAP-CNA,"El objeto del presente convenio consiste en el intercambio de información estadística, bases de datos y registros administrativos en materia agroalimentaria.","Promover la coordinación entre los diversos organismos agrícolas, forestales, pecuarios, acuícolas y agroindustriales del país.","SIAP-CNA (CONSEJO NACIONAL AGROPECUARIO, A.C.",Sin monto,24 de julio 2014,Vigencia determinada hasta en tanto prevalezca la necesidad de intercambio de información entre las partes.,2014
