AÑO,MUNICIPIO,TIPO,ACCIÓN,CONTRATO,EMPRESA,MONTO CONTRATADO,AVANCE FÍSICO,AVANCE FINANCIERO,MODALIDAD
2022,SAN MIGUEL DE ALLENDE,OBRA,TERMINACIÓN PRIMERA ETAPA DEL PLAN MAESTRO DE LA UNAM,SICOM/RE/LP/PU/DOB/OB/SEG/2022-0001,"CONSTRUCTORA Y EDIFICADORA GUANAJUATENSE, S.A. DE C.V.","$25,479,583.54 ",0.40 %,30.00 %,LICITACION PUBLICA
2022,LEÓN,OBRA,PAVIMENTACIÓN DE PAR VIAL DE BLVD. PERDIGÓN,SICOM/RE/LP/PA/DCB/OB/OP/2022-0002,"CONSORCIO CONSTRUCTOR ECO DEL BAJIO, S.A. DE C.V.","$77,339,318.11 ",3.71 %,30.00 %,LICITACION PUBLICA
2022,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,OBRA,CONSTRUCCIÓN DE EMPEDRADO A BASE DE PIEDRA BOLA CON HUELLAS,SICOM/RE/LS/PU/DCA/OB/OP/2022-0003,GONZALEZ CASILLAS EDUARDO,"$5,893,297.48 ",5.70 %,30.00 %,LICITACION SIMPLIFICADA
2022,LEÓN,OBRA,CONSTRUCC. SEGUNDA ETAPA PARA EL GIMNASIO DE REMO,SICOM/RE/AM/PU/DOB/OB/CODE/2022-0004,"URBARK CONSTRUCCIONES, S.A DE C.V.","$2,389,820.52 ",0.00 %,30.00 %,ADJUDICACION DIRECTA
2022,OCAMPO,OBRA,REHABILITACIÓN DE LA CARRETERA RAMAL A IBARRA EN OCAMPO,SICOM/RE/AM/PU/DCB/OB/OP/2022-0005,"CONSTRUCTORA MARIVE, S.A. DE C.V.","$2,865,311.46 ",0.00 %,0.00 %,ADJUDICACION DIRECTA
2022,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,OBRA,"CONST. EMPEDADRO CALLE CAMINO REAL, COMUNIDAD SANTA CLARA",SICOM/RE/AE/PU/DCA/OB/OP/2022-0006,TORRES ARRIAGA GERARDO MANUEL,"$4,548,387.20 ",0.00 %,30.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2022,GUANAJUATO,OBRA,SEGURIDAD INTEGRAL DEL TEATRO JUAREZ,SICOM/RE/AE/MIX/DOB/OB/IEC/2022-0007,"LERMA EDIFICACIONES, S.A. DE C.V.","$152,627,324.17 ",0.00 %,30.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2022,SILAO,OBRA,REHABILITACIÓN DE LA CARRETERA RAMAL A MEDRANOS EN SILAO,SICOM/RE/AE/PU/DCB/OB/OP/2022-0010,"DESARROLLADORA SILMAR, S.A. DE C.V.","$3,955,802.73 ",0.00 %,0.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2022,LEÓN,OBRA,REH. CENTRO ACUÁTICO (ILUMINACIÓN INTERIOR) MACRO DEP LEÓN,SICOM/RE/AM/PU/DOB/OB/CODE/2022-0008,"ELECTRO OBRA DEL BAJIO, S.A. DE C.V.","$2,983,772.51 ",0.00 %,0.00 %,ADJUDICACION DIRECTA
2022,APASEO EL ALTO,OBRA,PAVIMENTACIÓN DE LA CALLE IGNACIO ALLENDE,SICOM/RE/AE/PA/DCA/OB/OP/2022-0009,GARCIA LOPEZ MARIA SOLEDAD KARINA,"$11,749,999.99 ",0.00 %,0.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2022,XICHÚ,OBRA,"CONSTRUCCIÓN DEL CAMINO LA NORIA - LAS PALOMAS, PRIMERA ETAP",SICOM/RE/LP/PA/DCA/OB/OP/2022-0011,"CONSTRUCTORA AZACAN, S.A. DE C.V.","$26,802,580.98 ",0.00 %,0.00 %,LICITACION PUBLICA
2022,YURIRIA,OBRA,"REHABILITACIÓN DE LA CARRETERA RAMAL A EL TIMBINAL, SEGUNDA",SICOM/RE/AE/PU/DCA/OB/OP/2022-0012,"AS URBANIZACIONES, S.A. DE C.V.","$3,417,573.06 ",0.00 %,0.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2022,SAN FRANCISCO DEL RINCÓN,OBRA,REHABILITACIÓN DE LA CARRETERA RAMAL A NUEVO JESÚS DEL MONTE,SICOM/RE/AE/PU/DCB/OB/OP/2022-0013,"URBANIZADORA Y CONSTRUCTORA CURG, S.A. DE C.V.","$7,392,763.35 ",0.00 %,0.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2022,CORONEO,OBRA,REHABILITACIÓN DEL ACCESO ORIENTE DE CORONEO,SICOM/RE/AE/PU/DCA/OB/OP/2022-0014,"GRUPO CONSTRUCTOR DRAGON, S.A. DE C.V.","$4,628,193.58 ",0.00 %,0.00 %,ADJUDICACION DIRECTA POR EXCEPCION
2021,SILAO,OBRA,TELESECUNDARIA NÚM. 914 C.C.T. 11ETV0914V,INIFEG/FAM POTENCIADO/PU/I3-126/FED/2021-030,VALDEZ AVILA ERIC,"$1,909,943.98 ",0.00 %,0.00 %,INVITACION CUANDO MENOS A 3
2021,APASEO EL ALTO,OBRA,TERCERA ETAPA DE INTERVENCIÓN PANTEÓN MUNICIPAL APASEO ALTO,SICOM/RE/AM/PU/DOA/OB/OP/2021-0001,"CORDOVA CONSTRUCCIONES DEL CENTRO, S.A. DE C.V.","$451,641.92 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,ROMITA,OBRA,REHABILITACIÓN Y ADECUACIÓN DE LA SECCIÓN DE TOCOCIRUGÍA EN,SICOM/RE/LP/PA/DOA/OB/ISAPEG/2021-0002,"CONSTRUCTORA CIFSA, S.A. DE C.V.","$8,481,337.02 ",95.48 %,30.00 %,LICITACION PUBLICA
2021,LEÓN,OBRA,"PAVIMENTACIÓN DEL BLVD. PERDIGÓN, TRAMO BLVD. PERDIGÓN OESTE",SICOM/RE/LP/PA/DCB/OB/OP/2021-0004,"CONSORCIO CONSTRUCTOR ECO DEL BAJIO, S.A. DE C.V.","$23,591,601.26 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,LEÓN,OBRA,PAVIMENTACIÓN DEL BLVD. FRANCISCO VILLA TRAMO: CALLE FRESNO,SICOM/RE/LP/PA/DCB/OB/OP/2021-0003,"CONSORCIO INGENIEROS DE GUANAJUATO, S.A. DE C.V.","$37,797,736.02 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,OBRA,REHABILITACIÓN DE LA CARRETERA JAMAICA - E.C. SAN LUIS DE LA,SICOM/RE/LP/PA/DCA/OB/OP/2021-0005,"CONSTRUCTORA AZACAN, S.A. DE C.V.","$14,019,312.69 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,LEÓN,OBRA,BLVD. LAS JOYAS (CUERPO NORTE),SICOM/RE/LP/PA/DCB/OB/OP/2021-0006,"CONSORCIO CONSTRUCTOR ECO DEL BAJIO, S.A. DE C.V.","$23,439,021.60 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,VARIOS MUNICIPIOS,OBRA,ESTABILIZACIÓN DE TALUDES EN LA CARRETERA ZAPOTE DE COBARRU,SICOM/RE/AM/PU/DCB/OB/OP/2021-0007,NAVARRETE MACIAS JOSE GUADALUPE,"$1,468,912.88 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,GUANAJUATO,OBRA,"DISTRIBUIDOR VIAL SANTA FE, SEGUNDA ETAPA",SICOM/RE/LP/PA/DEC/OB/OP/2021-0008,"VISE, S.A. DE C.V.","$125,832,555.86 ",100.00 %,50.00 %,LICITACION PUBLICA
2021,SALVATIERRA,OBRA,BOULEVARD JUAN JESÚS POSADAS OCAMPO,SICOM/RE/LP/PA/DCA/OB/OP/2021-0010,"ESPINOSA INGENIEROS CONSTRUCTORES, S.A. DE C.V.","$22,009,197.96 ",TERMINACION ANTICIPADA,85.39 %,LICITACION PUBLICA
2021,APASEO EL ALTO,OBRA,"CALLE FÉLIX LÓPEZ VEGA, COLONIA SANTA ELENA NORTE",SICOM/RE/LP/PA/DCA/OB/OP/2021-0009,"CESAREO CONSTRUCCIONES, S.A. DE C.V.","$5,617,359.08 ",100.00 %,99.41 %,LICITACION PUBLICA
2021,SALVATIERRA,OBRA,"PAVIMENTACIÓN DE BOULEVARD JUAN JESÚS POSADAS OCAMPO, DÉCIMA",SICOM/RE/LP/PA/DCA/OB/OP/2021-0011,"ESPINOSA INGENIEROS CONSTRUCTORES, S.A. DE C.V.","$17,073,413.89 ",100.00 %,98.44 %,LICITACION PUBLICA
2021,SAN MIGUEL DE ALLENDE,OBRA,CONSTRUCCIÓN DE PUENTE VEHICULAR LA CIENEGUITA SOBRE EL RÍO,SICOM/RE/LP/PA/DEC/OB/OP/2021-0015,"CONSTRUCTORA Y ARRENDADORA SAN SEBASTIAN, S.A. DE C.V.","$79,440,451.71 ",100.00 %,91.74 %,LICITACION PUBLICA
2021,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,OBRA,CONSTRUCCIÓN Y REHABILITACIÓN DE CALLES Y CAMINO EN LA VENTA,SICOM/RE/LP/PA/DCA/OB/OP/2021-0012,"CONSORCIO CONSTRUCTOR ECO DEL BAJIO, S.A. DE C.V.","$24,940,901.82 ",100.00 %,65.00 %,LICITACION PUBLICA
2021,PURÍSIMA DEL RINCÓN,OBRA,CONSERVACIÓN DE LA CARRETERA PURÍSIMA - JALPA DE CÁNOVAS 5A,SICOM/RE/LP/PA/DCB/OB/OP/2021-0013,"CONSORCIO INGENIEROS DE GUANAJUATO, S.A. DE C.V.","$13,069,948.60 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,VARIOS MUNICIPIOS,OBRA,REHABILITACIÓN DE LA CARRETERA JARAL DEL PROGRESO - ROSA DE,SICOM/RE/LP/PA/DCA/OB/OP/2021-0016,"CESAREO CONSTRUCCIONES, S.A. DE C.V.","$20,847,615.79 ",99.70 %,65.00 %,LICITACION PUBLICA
2021,ATARJEA,OBRA,"PAVIMENTACIÓN DEL ACCESO A ATARJEA, QUINTA ETAPA",SICOM/RE/LP/PA/DCA/OB/OP/2021-0014,"MAQUINARIA INMOBILIARIA CAMINOS Y ACARREOS, S.A. DE C.V.","$27,787,747.81 ",100.00 %,97.01 %,LICITACION PUBLICA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA EJE METROPOLITANO LEÓN - SILAO 2021,SICOM/RE/LS/PU/DCB/OB/OP/2021-0017,"GRUPO CONSTRUCTOR NORUMA, S.A. DE C.V.","$4,416,363.54 ",100.00 %,89.86 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,"CONSERVACIÓN RUTINARIA DE LA RED DE CICLOVÍAS ZONA A, 2021",SICOM/RE/AM/PU/DCA/OB/OP/2021-0019,FLORES CASTRO OSCAR ALBERTO,"$1,044,676.79 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,"CONSERVACIÓN RUTINARIA DE LA RED DE CICLOVÍAS ZONA B, 2021",SICOM/RE/AM/PU/DCB/OB/OP/2021-0018,"URBARK CONSTRUCCIONES, S.A DE C.V.","$1,479,542.94 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,SILAO,OBRA,PAVIMENTACIÓN PLAYAS DE SOTELO,SICOM/RE/LP/PA/DCB/OB/OP/2021-0030,"VEESGAL CONSTRUCCIONES, S.A. DE C.V.","$8,263,971.88 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,XICHÚ,OBRA,ESTABILIZACIÓN DE TALUDES DE LA CARRETERA CAÑADA DE MORENO,SICOM/RE/AM/PU/DCA/OB/OP/2021-0021,"CONSTRUCCIONES MOZADO, S.A. DE C.V.","$2,999,937.25 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,ESTABILIZACIÓN DE TALUDES EN LA CARRETERA COMONFORT -SMA,SICOM/RE/AM/PU/DCA/OB/OP/2021-0024,"DESARROLLOS DE INGENIERIA SUBTERRANEA, CONSTRUCCIONES Y ESTABILIZACIONES LOSANTO","$2,975,433.67 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA CARRETERA LEÓN - SAN FRANCISCO R 2021,SICOM/RE/AM/PU/DCB/OB/OP/2021-0022,"RIEGOS ASFALTICOS, S.A. DE C.V.","$2,623,230.59 ",100.00 %,90.85 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA DEL EJE METROPOLITANO DEL RINCON 2021,SICOM/RE/AM/PU/DCB/OB/OP/2021-0023,VELAZQUEZ DIAZ RAYMUNDO,"$2,811,366.24 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA DOLORES HIDALGO 2 2021,SICOM/RE/LS/PU/DCA/OB/OP/2021-0028,"INGENIERIA CONSTRUCTIVA PAVSA, S.A. DE C.V.","$8,066,675.32 ",100.00 %,99.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA DOLORES HIDALGO 1 2021,SICOM/RE/LS/PU/DCA/OB/OP/2021-0029,"AVILA CONSTRUCTORES, S.A. DE C.V.","$11,197,619.30 ",100.00 %,99.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA GUANAJUATO 3 2021,SICOM/RE/LS/PU/DCB/OB/OP/2021-0027,"RDI URBANIZADORA, S.A. DE C.V.","$7,890,404.11 ",100.00 %,95.77 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA CELAYA 4 2021,SICOM/RE/LS/PU/DCA/OB/OP/2021-0026,LOPEZ CHAVEZ JUANA,"$9,201,959.55 ",99.70 %,100.00 %,LICITACION SIMPLIFICADA
2021,APASEO EL ALTO,OBRA,"PAVIMENTO EN ARROYO VEHICULAR, GUARNICIONES Y BANQUETAS",SICOM/RE/AM/PU/DCA/OB/OP/2021-0025,"CORDOVA CONSTRUCCIONES DEL CENTRO, S.A. DE C.V.","$465,695.64 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,CELAYA,PROYECTO,PROYECTO EJECUTIVO DE LA REHABILITACIÓN DEL CUERPO CENTRAL,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0020,ALONSO ROMERO GERARDO,"$2,867,676.08 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA LEÓN 2 2021,SICOM/RE/LS/PU/DCB/OB/OP/2021-0031,"LUACCOM, S.A.S. DE C.V.","$8,796,166.31 ",100.00 %,96.56 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,"REHABILITACIÓN DE VIALIDADES, CAMINOS Y CALLES 2020",SICOM/RE/AE/PU/DEC/OB/OP/2021-0032,"AGREGADOS Y ASFALTOS DE GUANAJUATO, S.A. DE C.V.","$13,211,756.31 ",98.55 %,90.21 %,ADJUDICACION DIRECTA POR EXCEPCION
2021,VARIOS MUNICIPIOS,PROYECTO,"P.E. Y DICTÁMENES REHAB. Y CONSERV. REC PAVIM PAQUETE 3,2021",SICOM/RE/AM/PU/DPI/SERV/OP/2021-0034,"GESTION DE INGENIERIA Y PROYECTOS VIALES, S.C.","$730,124.23 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,TIERRA BLANCA,OBRA,"PAVIMENTACIÓN DE LA CALLE 16 DE SEPTIEMBRE, SEGUNDA ETAPA.",SICOM/RE/AM/PU/DCA/OB/OP/2021-0035,PEREZ GARCIA RAFAEL,"$360,487.49 ",99.70 %,83.45 %,ADJUDICACION DIRECTA
2021,GUANAJUATO,ESTUDIO,ANÁLISIS COSTO EFICIENCIA SIMPLIFICADO DE LA ACCIÓN DE REHAB,SICOM/RE/AM/PU/UEP/SERV/IEC/2021-0037,TELLEZ AGUILAR NOEMI RUTH,"$280,628.55 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,ATENCIÓN DE PUNTOS CONFLICTIVOS RED CARR ZONA A 2021,SICOM/RE/AM/PU/DEC/OB/OP/2021-0036,MARTINEZ GARCIA MA. DE LOURDES,"$1,488,596.29 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,ATENCIÓN DE PUNTOS CONFLICTIVOS EN LA RED CARR ZONA B 2021,SICOM/RE/AM/PU/DEC/OB/OP/2021-0033,"GURAM CONSTRUCTORA, S.A. DE C.V.","$1,230,804.84 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,GUANAJUATO,OBRA,CUARTA ETAPA DE AMPLIACIÓN DE LRED DE INTERNET EN LA BCENOG,SICOM/RE/AM/PU/DOB/OB/SEG/2021-0038,"GS SERVICIOS DE CONSTRUCCION, S.A. DE C.V.","$175,005.27 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,"CONSERVACIÓN RUTINARIA DE PUENTES ZONA A, 2021",SICOM/RE/AM/PU/DEC/OB/OP/2021-0040,LEMUS MUÑOZ LEDO LUIS GUILLERMO,"$2,487,303.48 ",88.50 %,83.82 %,ADJUDICACION DIRECTA
2021,GUANAJUATO,OBRA,INTERSECCIÓN SEMAFORIZADA DE LA GLORIETA SANTA FE,SICOM/RE/AM/PU/DEC/OB/OP/2021-0039,"SEMEX, S.A. DE C.V.","$799,691.47 ",100.00 %,99.00 %,ADJUDICACION DIRECTA
2021,SAN MIGUEL DE ALLENDE,PROYECTO,PROYECTO EJECUTIVO DEL PUENTE VEHICULAR SOBRE EL ARROYO CHAR,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0041,NAVARRO FONSECA JOSE JESUS,"$892,263.36 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,SAN MIGUEL DE ALLENDE,PROYECTO,PROYECTO EJECUTIVO DEL PUENTE VEHICULAR SOBRE EL ARROYO ATOT,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0043,BUSTAMANTE MEDINA JORGE,"$943,115.89 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
